Index,File,Points,Lambda_Min,Lambda_Max,Integral,Peak_Value,Peak_Lambda,Mean_Value,Time_HMS
94,500_145_QEPB04081__94__11-30-28-594.txt,1044,220.843,1015.12,562610.09026,17429.38,507.253,697.493026819926,2000-01-01 11:30:28
95,500_145_QEPB04081__95__11-30-29-588.txt,1044,220.843,1015.12,562592.85326,17363.38,508.027,697.475785440616,2000-01-01 11:30:29
96,500_145_QEPB04081__96__11-30-30-584.txt,1044,220.843,1015.12,562270.83226,17379.38,507.253,697.072528735635,2000-01-01 11:30:30
97,500_145_QEPB04081__97__11-30-31-585.txt,1044,220.843,1015.12,561977.86576,17410.88,507.253,696.702796934869,2000-01-01 11:30:31
98,500_145_QEPB04081__98__11-30-32-585.txt,1044,220.843,1015.12,562234.69126,17378.38,507.253,697.028467432953,2000-01-01 11:30:32
99,500_145_QEPB04081__99__11-30-33-600.txt,1044,220.843,1015.12,562728.63024,17412.62,507.253,697.644904214556,2000-01-01 11:30:33
100,500_145_QEPB04081__100__11-30-34-597.txt,1044,220.843,1015.12,562155.33676,17340.88,508.027,696.924061302685,2000-01-01 11:30:34
101,500_145_QEPB04081__101__11-30-35-592.txt,1044,220.843,1015.12,561713.35225,17324.75,507.253,696.377394636015,2000-01-01 11:30:35
102,500_145_QEPB04081__102__11-30-36-582.txt,1044,220.843,1015.12,562302.37874,17335.62,507.253,697.115210727966,2000-01-01 11:30:36
103,500_145_QEPB04081__103__11-30-37-583.txt,1044,220.843,1015.12,561139.37076,17326.38,507.253,695.655862068969,2000-01-01 11:30:37
104,500_145_QEPB04081__104__11-30-38-582.txt,1044,220.843,1015.12,561933.88224,17365.12,508.027,696.65639846743,2000-01-01 11:30:38
106,500_145_QEPB04081__106__11-30-39-597.txt,1044,220.843,1015.12,561810.65575,17339.25,507.253,696.505747126437,2000-01-01 11:30:39
107,500_145_QEPB04081__107__11-30-40-595.txt,1044,220.843,1015.12,561512.54524,17349.62,507.253,696.122873563215,2000-01-01 11:30:40
108,500_145_QEPB04081__108__11-30-41-589.txt,1044,220.843,1015.12,562171.51174,17366.62,507.253,696.958122605361,2000-01-01 11:30:41
109,500_145_QEPB04081__109__11-30-42-582.txt,1044,220.843,1015.12,561689.11626,17309.38,508.027,696.357011494256,2000-01-01 11:30:42
110,500_145_QEPB04081__110__11-30-43-574.txt,1044,220.843,1015.12,562005.31176,17342.38,507.253,696.747816091957,2000-01-01 11:30:43
111,500_145_QEPB04081__111__11-30-44-569.txt,1044,220.843,1015.12,561349.3285,17314,507.253,695.930076628352,2000-01-01 11:30:44
112,500_145_QEPB04081__112__11-30-45-571.txt,1044,220.843,1015.12,561149.42075,17328.75,508.027,695.680076628352,2000-01-01 11:30:45
113,500_145_QEPB04081__113__11-30-46-563.txt,1044,220.843,1015.12,561311.62574,17318.12,507.253,695.885325670495,2000-01-01 11:30:46
115,500_145_QEPB04081__115__11-30-47-574.txt,1044,220.843,1015.12,560737.87625,17296.25,507.253,695.16091954023,2000-01-01 11:30:47
116,500_145_QEPB04081__116__11-30-48-586.txt,1044,220.843,1015.12,562020.66974,17340.62,507.253,696.773256704978,2000-01-01 11:30:48
117,500_145_QEPB04081__117__11-30-49-597.txt,1044,220.843,1015.12,561092.35,17298,508.027,695.611111111111,2000-01-01 11:30:49
118,500_145_QEPB04081__118__11-30-50-597.txt,1044,220.843,1015.12,560130.205,17289,508.027,694.407088122605,2000-01-01 11:30:50
119,500_145_QEPB04081__119__11-30-51-595.txt,1044,220.843,1015.12,561058.7235,17328,508.027,695.569923371648,2000-01-01 11:30:51
120,500_145_QEPB04081__120__11-30-52-595.txt,1044,220.843,1015.12,561335.35675,17307.75,508.027,695.926245210728,2000-01-01 11:30:52
121,500_145_QEPB04081__121__11-30-53-592.txt,1044,220.843,1015.12,561103.85676,17287.38,507.253,695.632873563221,2000-01-01 11:30:53
123,500_145_QEPB04081__123__11-30-54-618.txt,1044,220.843,1015.12,561365.65725,17271.75,507.253,695.961685823755,2000-01-01 11:30:54
124,500_145_QEPB04081__124__11-30-55-614.txt,1044,220.843,1015.12,561508.85874,17291.12,507.253,696.147777777775,2000-01-01 11:30:55
125,500_145_QEPB04081__125__11-30-56-617.txt,1044,220.843,1015.12,560464.1575,17282,508.027,694.833333333333,2000-01-01 11:30:56
126,500_145_QEPB04081__126__11-30-57-627.txt,1044,220.843,1015.12,560454.57425,17294.75,508.027,694.82183908046,2000-01-01 11:30:57
127,500_145_QEPB04081__127__11-30-58-619.txt,1044,220.843,1015.12,561055.27876,17271.38,508.027,695.574444444447,2000-01-01 11:30:58
128,500_145_QEPB04081__128__11-30-59-623.txt,1044,220.843,1015.12,561024.68074,17274.62,508.027,695.541455938694,2000-01-01 11:30:59
129,500_145_QEPB04081__129__11-31-00-614.txt,1044,220.843,1015.12,560232.509,17221,508.027,694.550766283525,2000-01-01 11:31:00
130,500_145_QEPB04081__130__11-31-01-608.txt,1044,220.843,1015.12,560255.22876,17221.38,508.027,694.582107279697,2000-01-01 11:31:01
131,500_145_QEPB04081__131__11-31-02-599.txt,1044,220.843,1015.12,560253.23776,17227.38,507.253,694.579233716478,2000-01-01 11:31:02
132,500_145_QEPB04081__132__11-31-03-600.txt,1044,220.843,1015.12,560351.72676,17230.38,508.027,694.702796934869,2000-01-01 11:31:03
133,500_145_QEPB04081__133__11-31-04-595.txt,1044,220.843,1015.12,559567.85926,17237.38,507.253,693.716206896555,2000-01-01 11:31:04
135,500_145_QEPB04081__135__11-31-05-623.txt,1044,220.843,1015.12,560526.83526,17230.38,508.027,694.921187739467,2000-01-01 11:31:05
136,500_145_QEPB04081__136__11-31-06-628.txt,1044,220.843,1015.12,560541.76176,17181.38,507.253,694.938429118777,2000-01-01 11:31:06
137,500_145_QEPB04081__137__11-31-07-630.txt,1044,220.843,1015.12,560607.966,17262.5,508.027,695.021072796935,2000-01-01 11:31:07
138,500_145_QEPB04081__138__11-31-08-626.txt,1044,220.843,1015.12,560219.41426,17215.38,508.027,694.536130268202,2000-01-01 11:31:08
139,500_145_QEPB04081__139__11-31-09-617.txt,1044,220.843,1015.12,560232.16724,17238.12,508.027,694.552950191568,2000-01-01 11:31:09
140,500_145_QEPB04081__140__11-31-10-610.txt,1044,220.843,1015.12,559847.05774,17211.62,508.027,694.06731800766,2000-01-01 11:31:10
141,500_145_QEPB04081__141__11-31-11-625.txt,1044,220.843,1015.12,559753.4195,17268,508.027,693.954980842912,2000-01-01 11:31:11
142,500_145_QEPB04081__142__11-31-12-624.txt,1044,220.843,1015.12,559525.35624,17198.12,508.027,693.675555555553,2000-01-01 11:31:12
143,500_145_QEPB04081__143__11-31-13-620.txt,1044,220.843,1015.12,559991.22326,17244.38,508.027,694.2545210728,2000-01-01 11:31:13
144,500_145_QEPB04081__144__11-31-14-611.txt,1044,220.843,1015.12,559742.37575,17218.25,507.253,693.943486590038,2000-01-01 11:31:14
145,500_145_QEPB04081__145__11-31-15-617.txt,1044,220.843,1015.12,559858.59976,17208.88,507.253,694.084980842915,2000-01-01 11:31:15
146,500_145_QEPB04081__146__11-31-16-617.txt,1044,220.843,1015.12,559896.56924,17257.12,508.027,694.135325670495,2000-01-01 11:31:16
147,500_145_QEPB04081__147__11-31-17-612.txt,1044,220.843,1015.12,559337.833,17167,508.027,693.443486590038,2000-01-01 11:31:17
148,500_145_QEPB04081__148__11-31-18-610.txt,1044,220.843,1015.12,560062.45526,17214.38,508.027,694.349348659007,2000-01-01 11:31:18
149,500_145_QEPB04081__149__11-31-19-599.txt,1044,220.843,1015.12,559888.283,17224.5,507.253,694.130268199234,2000-01-01 11:31:19
150,500_145_QEPB04081__150__11-31-20-603.txt,1044,220.843,1015.12,560809.46924,17226.12,508.027,695.283793103445,2000-01-01 11:31:20
151,500_145_QEPB04081__151__11-31-21-602.txt,1044,220.843,1015.12,559768.30724,17219.12,508.027,693.97823754789,2000-01-01 11:31:21
152,500_145_QEPB04081__152__11-31-22-600.txt,1044,220.843,1015.12,559384.79076,17208.88,507.253,693.498773946363,2000-01-01 11:31:22
153,500_145_QEPB04081__153__11-31-23-611.txt,1044,220.843,1015.12,560069.72075,17211.25,507.253,694.35632183908,2000-01-01 11:31:23
154,500_145_QEPB04081__154__11-31-24-603.txt,1044,220.843,1015.12,559172.947,17200.5,507.253,693.229885057471,2000-01-01 11:31:24
155,500_145_QEPB04081__155__11-31-25-602.txt,1044,220.843,1015.12,559746.18625,17219.25,508.027,693.948275862069,2000-01-01 11:31:25
156,500_145_QEPB04081__156__11-31-26-608.txt,1044,220.843,1015.12,559753.58325,17198.25,508.027,693.961685823755,2000-01-01 11:31:26
157,500_145_QEPB04081__157__11-31-27-605.txt,1044,220.843,1015.12,559202.466,17161,508.027,693.277777777778,2000-01-01 11:31:27
158,500_145_QEPB04081__158__11-31-28-599.txt,1044,220.843,1015.12,559680.71974,17189.12,508.027,693.868084291185,2000-01-01 11:31:28
159,500_145_QEPB04081__159__11-31-29-593.txt,1044,220.843,1015.12,559771.373,17211.5,508.027,693.976053639847,2000-01-01 11:31:29
160,500_145_QEPB04081__160__11-31-30-582.txt,1044,220.843,1015.12,545761.68924,16732.12,508.027,676.613295019154,2000-01-01 11:31:30
