Index,File,Points,Lambda_Min,Lambda_Max,Integral,Peak_Value,Peak_Lambda,Mean_Value
104,500_425_QEPB04081__104__15-50-02-334.txt,1044,220.843,1015.12,1270473.60875,37075.75,504.934,1574.53544061303
105,500_425_QEPB04081__105__15-50-03-334.txt,1044,220.843,1015.12,1269835.35325,37106.25,504.934,1573.74137931034
106,500_425_QEPB04081__106__15-50-04-326.txt,1044,220.843,1015.12,1270599.21826,36960.38,504.16,1574.68938697318
107,500_425_QEPB04081__107__15-50-05-318.txt,1044,220.843,1015.12,1270761.17476,37022.88,504.934,1574.89340996169
108,500_425_QEPB04081__108__15-50-06-312.txt,1044,220.843,1015.12,1270647.47076,37030.38,504.934,1574.75164750958
109,500_425_QEPB04081__109__15-50-07-305.txt,1044,220.843,1015.12,1270018.68426,36999.88,504.934,1573.98057471265
110,500_425_QEPB04081__110__15-50-08-305.txt,1044,220.843,1015.12,1268563.83875,36947.25,504.934,1572.16570881226
111,500_425_QEPB04081__111__15-50-09-303.txt,1044,220.843,1015.12,1268321.76426,37064.88,504.934,1571.86275862069
112,500_425_QEPB04081__112__15-50-10-321.txt,1044,220.843,1015.12,1268609.406,36947,504.934,1572.22222222222
113,500_425_QEPB04081__113__15-50-11-314.txt,1044,220.843,1015.12,1268587.19475,36913.25,504.934,1572.20019157088
114,500_425_QEPB04081__114__15-50-12-314.txt,1044,220.843,1015.12,1267778.30226,36941.38,504.934,1571.18555555556
115,500_425_QEPB04081__115__15-50-13-309.txt,1044,220.843,1015.12,1268383.13374,36880.62,504.934,1571.95333333333
116,500_425_QEPB04081__116__15-50-14-308.txt,1044,220.843,1015.12,1267104.89175,36811.75,505.707,1570.35440613027
117,500_425_QEPB04081__117__15-50-15-307.txt,1044,220.843,1015.12,1267892.76374,36872.12,504.934,1571.3546743295
118,500_425_QEPB04081__118__15-50-16-304.txt,1044,220.843,1015.12,1267834.96476,36889.38,504.934,1571.2698467433
