Index,File,Points,Lambda_Min,Lambda_Max,Integral,Peak_Value,Peak_Lambda,Mean_Value,Time_HMS
96,500_565_QEPB04081__96__09-52-01-993.txt,1044,220.843,1015.12,1540239.23976,43863.38,504.16,1908.68076628353,2000-01-01 09:52:01
97,500_565_QEPB04081__97__09-52-02-994.txt,1044,220.843,1015.12,1540769.73274,43909.62,504.16,1909.34988505747,2000-01-01 09:52:02
98,500_565_QEPB04081__98__09-52-03-983.txt,1044,220.843,1015.12,1539833.63976,43867.38,504.934,1908.18459770115,2000-01-01 09:52:03
99,500_565_QEPB04081__99__09-52-04-980.txt,1044,220.843,1015.12,1539685.66276,43829.88,504.934,1908.00835249042,2000-01-01 09:52:04
100,500_565_QEPB04081__100__09-52-05-982.txt,1044,220.843,1015.12,1538884.064,43846.5,504.934,1907.01245210728,2000-01-01 09:52:05
101,500_565_QEPB04081__101__09-52-06-981.txt,1044,220.843,1015.12,1538261.4145,43860,504.934,1906.23275862069,2000-01-01 09:52:06
102,500_565_QEPB04081__102__09-52-07-978.txt,1044,220.843,1015.12,1539188.32876,43787.88,504.16,1907.3953256705,2000-01-01 09:52:07
103,500_565_QEPB04081__103__09-52-08-974.txt,1044,220.843,1015.12,1538301.10075,43820.25,504.934,1906.28831417625,2000-01-01 09:52:08
104,500_565_QEPB04081__104__09-52-09-972.txt,1044,220.843,1015.12,1537447.85024,43784.12,504.934,1905.22727969348,2000-01-01 09:52:09
105,500_565_QEPB04081__105__09-52-10-961.txt,1044,220.843,1015.12,1537728.35676,43752.88,504.16,1905.58977011495,2000-01-01 09:52:10
106,500_565_QEPB04081__106__09-52-11-964.txt,1044,220.843,1015.12,1537262.07176,43743.38,504.934,1905.00931034483,2000-01-01 09:52:11
107,500_565_QEPB04081__107__09-52-12-964.txt,1044,220.843,1015.12,1536885.48524,43742.62,504.16,1904.54528735632,2000-01-01 09:52:12
108,500_565_QEPB04081__108__09-52-13-962.txt,1044,220.843,1015.12,1537740.4405,43716,504.934,1905.61302681992,2000-01-01 09:52:13
109,500_565_QEPB04081__109__09-52-14-960.txt,1044,220.843,1015.12,1536666.31475,43695.25,504.16,1904.2653256705,2000-01-01 09:52:14
110,500_565_QEPB04081__110__09-52-15-953.txt,1044,220.843,1015.12,1537178.06875,43720.25,504.934,1904.91666666667,2000-01-01 09:52:15
111,500_565_QEPB04081__111__09-52-16-947.txt,1044,220.843,1015.12,1536584.75574,43690.12,504.934,1904.1832183908,2000-01-01 09:52:16
112,500_565_QEPB04081__112__09-52-17-942.txt,1044,220.843,1015.12,1535609.795,43701,504.934,1902.95785440613,2000-01-01 09:52:17
113,500_565_QEPB04081__113__09-52-18-957.txt,1044,220.843,1015.12,1535383.13524,43656.12,504.934,1902.68130268199,2000-01-01 09:52:18
114,500_565_QEPB04081__114__09-52-19-953.txt,1044,220.843,1015.12,1535326.90725,43668.75,504.934,1902.61973180077,2000-01-01 09:52:19
